id,location,text
1052935067021008896,The Brat,b'RT @b_roze: Ted Cruz Looks Stale and Old and Past His Time https://t.co/1AIe2LtSL6 via @Esquire'
1052935024251686912,"Virginia, USA, born NYC","b""RT @AliAdair22: @beccas1434 @BetoORourke @tedcruz \xf0\x9f\x97\xb3\xef\xb8\x8fPlease vote for Beto O'Rourke @BetoORourke for U.S. Senate in #Texas! https://t.co/wcpy\xe2\x80\xa6"""
1052935007235399680,"Georgia, USA","b""A more aggressive Beto O'Rourke races the clock in Texas\nhttps://t.co/42iIFMv3uo"""
1052934972384907264,,"b""RT @CNNPolitics: A more aggressive Beto O'Rourke races the clock in Texas https://t.co/GdOHf5A5J1 https://t.co/4zg25xVNej"""
1052934955511103489,"Oregon, USA","b""RT @CNNPolitics: A more aggressive Beto O'Rourke races the clock in Texas https://t.co/GdOHf5A5J1 https://t.co/4zg25xVNej"""
1052934841325547521,"Austin, TX",b'RT @beccas1434: THE STARS AT NIGHT ARE BIG AND BRIGHT \xf0\x9f\x91\x8f\xf0\x9f\x91\x8f\xf0\x9f\x91\x8f\xf0\x9f\x91\x8f DEEP IN THE HEART OF TEXAS!\n\nON OCTOBER 18TH THURSDAY!\n\nHOSTED AND LIVE ON CNN @\xe2\x80\xa6'
1052934812045066245,"St. Louis, MO",b'Ted Cruz Looks Stale and Old and Past His Time https://t.co/1AIe2LtSL6 via @Esquire'
1052934756332122112,"Splendora, TX",b'RT @Erin_Jesko: Does Texas really want a senate that doesn\xe2\x80\x99t buckle his kids? https://t.co/kz2tIVa2Eb'
1052934611687235584,"Saskatchewan, Canada","b'RT @RocessGlenn: Ted Cruz\xe2\x80\x99 wife complains that his $174K salary is too low, that they \xe2\x80\x9cwon\xe2\x80\x99t be buying a second home anytime soon.\xe2\x80\x9d\n\nRT thi\xe2\x80\xa6'"
1052934468787306496,,"b""RT @CNNPolitics: A more aggressive Beto O'Rourke races the clock in Texas https://t.co/GdOHf5A5J1 https://t.co/4zg25xVNej"""
1052934449703374848,"Tennessee, USA",b'Ted Cruz Looks Stale and Old and Past His Time https://t.co/SfYs7RfQ1e via @Esquire'
1052934443185389569,,"b'RT @CBSNews: Cruz criticizes O\'Rourke for supporting Mr. Trump\'s impeachment, calling it a ""partisan circus.""\n\n""Really interesting to hear\xe2\x80\xa6'"
1052934388084748293,"Washington, USA","b'Ted Cruz\xe2\x80\x99 wife complains that his $174K salary is too low, that they \xe2\x80\x9cwon\xe2\x80\x99t be buying a second home anytime soon.\xe2\x80\x9d\xe2\x80\xa6 https://t.co/k84BrqH8x1'"
1052934366815383552,United States,"b'RT @fred_guttenberg: For my friends in Texas, vote for @BetoORourke.  He is an amazing leader and will make you proud in the Senate.  He wi\xe2\x80\xa6'"
1052934320250413057,"Rawalpindi, Pakistan","b'RT @OutFrontCNN: In Texas, can the Democratic ""nice guy"" take off the gloves and go on the attack against the Republican incumbent?  \n\n@Bet\xe2\x80\xa6'"
1052934304228147200,"Texas, USA",b'RT @beccas1434: THE STARS AT NIGHT ARE BIG AND BRIGHT \xf0\x9f\x91\x8f\xf0\x9f\x91\x8f\xf0\x9f\x91\x8f\xf0\x9f\x91\x8f DEEP IN THE HEART OF TEXAS!\n\nON OCTOBER 18TH THURSDAY!\n\nHOSTED AND LIVE ON CNN @\xe2\x80\xa6'
1052934219503144960,"ÜT: 40.7211616,-73.968928.",b'RT @Salon: Beto O\xe2\x80\x99Rourke dominates Ted Cruz in Texas Senate debate https://t.co/ZJnUPH5cPw'
1052934185281835011,"New York, USA","b'RT @RJC: \xe2\x80\x9cI want to cut your taxes; Congressman O\xe2\x80\x99Rourke wants to raise your taxes,\xe2\x80\x9d Mr. Cruz said in his closing remarks. \xe2\x80\x9cI want to keep\xe2\x80\xa6'"
1052934177660661760,,"b""@usacsmret @DailyCaller Once again proving that Democratic logic, defies logic. \n\nIf he can't win a Texas senate ra\xe2\x80\xa6 https://t.co/JekQ4yyfHE"""
1052934176771518464,"Seattle, WA","b""RT @CNNPolitics: A more aggressive Beto O'Rourke races the clock in Texas https://t.co/GdOHf5A5J1 https://t.co/4zg25xVNej"""
1052934140314734593,,"b'RT @Swamp_Fever2020: Hey Texas,\nDemturds think this is a seat they can win!!!\nWe need Ted Cruz for US Senate!!!\nWe counting on you Texas!!!\xe2\x80\xa6'"
1052934099189551105,"Griffin, GA","b""RT @JoeKing3333: A more aggressive Beto O'Rourke races the clock in Texas @CNNPolitics https://t.co/BrZgAHnrvb"""
1052934092059074560,Tx,b'RT @Erin_Jesko: Does Texas really want a senate that doesn\xe2\x80\x99t buckle his kids? https://t.co/kz2tIVa2Eb'
1052934000686391297,cyberspace,"b""RT @CNNPolitics: A more aggressive Beto O'Rourke races the clock in Texas https://t.co/GdOHf5A5J1 https://t.co/4zg25xVNej"""
1052933969824636928,On the road,"b""A more aggressive Beto O'Rourke races the clock in Texas @CNNPolitics https://t.co/BrZgAHnrvb"""
1052933870860099586,,"b""RT @CNNPolitics: A more aggressive Beto O'Rourke races the clock in Texas https://t.co/GdOHf5A5J1 https://t.co/4zg25xVNej"""
1052933794012033025,"Fort Myers, FL","b""RT @CNNPolitics: A more aggressive Beto O'Rourke races the clock in Texas https://t.co/GdOHf5A5J1 https://t.co/4zg25xVNej"""
1052933747316649985,United States,"b""RT @AliAdair22: @beccas1434 @BetoORourke @tedcruz \xf0\x9f\x97\xb3\xef\xb8\x8fPlease vote for Beto O'Rourke @BetoORourke for U.S. Senate in #Texas! https://t.co/wcpy\xe2\x80\xa6"""
1052933722985525249,United States,b'@Redistrict Should democrats just not run? Should they run half-heartedly? Beto is doing it exactly right - he\xe2\x80\x99s ru\xe2\x80\xa6 https://t.co/3pYMGiCZBj'
1052933716975194112,,"b""RT @CNNPolitics: A more aggressive Beto O'Rourke races the clock in Texas https://t.co/GdOHf5A5J1 https://t.co/4zg25xVNej"""
1052933683034935297,"Michigan, USA","b'Texas does not need a ""rock star"", ""skateboarder"" guy that can ""play air drums to The Who"". Texans can see past thi\xe2\x80\xa6 https://t.co/a5J6ouHxd9'"
1052933658632425472,,"b""RT @MSNBC: Democratic Rep. Beto O'Rourke, trailing in the polls, went on the attack in a debate with Ted Cruz, calling his Republican rival\xe2\x80\xa6"""
1052933639426727936,"Manhattan, NY","b""RT @CNNPolitics: A more aggressive Beto O'Rourke races the clock in Texas https://t.co/GdOHf5A5J1 https://t.co/4zg25xVNej"""
1052933585882230784,,b'@AriFleischer I don\xe2\x80\x99t get this Beto phenomenon. He is a veiny-necked empty suit who is trying to get Texas to surre\xe2\x80\xa6 https://t.co/j4CLeqU3Gu'
1052933563845410816,Washington DC,"b""RT @BenjySarlin: . @aseitzwald from Texas, where critics say don't look to us, phony Betomania has bit the dust    https://t.co/5PcgdWKsac"""
1052933536603361280,Homestead,"b'RT @CBSNews: ""Don\'t interrupt me, Jason,"" says Ted Cruz as the moderator tried to ask a follow-up question on the importance of remaining c\xe2\x80\xa6'"
1052933453723914240,,"b""RT @CNNPolitics: A more aggressive Beto O'Rourke races the clock in Texas https://t.co/GdOHf5A5J1 https://t.co/4zg25xVNej"""
1052933415408979968,"San Antonio, TX","b'RT @CBSNews: ""Don\'t interrupt me, Jason,"" says Ted Cruz as the moderator tried to ask a follow-up question on the importance of remaining c\xe2\x80\xa6'"
1052933338346983425,"Washington, D.C.","b""A more aggressive Beto O'Rourke races the clock in Texas https://t.co/GdOHf5A5J1 https://t.co/4zg25xVNej"""
1052933087074476033,,b'RT @CharlesPPierce: Ted Cruz looks stale and old and past his time: https://t.co/M7PvtgMdtB https://t.co/9XIeMvM7Q4'
1052933050080870400,"Alabama, USA","b'RT @PaulMayATL: Beto O""Rourke is exactly the type of generational leader America needs after the past 2 year disaster.  He brings people to\xe2\x80\xa6'"
1052933026672340992,"Nedonna Beach, OR","b'RT @TexasTribune: 27/ #ElectionDay is in 20 days. \n\nDuring their second U.S. Senate debate in San Antonio, Beto O\xe2\x80\x99Rourke and Ted Cruz went\xe2\x80\xa6'"
1052933008704118785,"Berlin, Germany","b'RT @KerryHowley: This only deepens the mystery of why anyone would marry Ted Cruz: A guy who cowers when the president calls you ugly, hits\xe2\x80\xa6'"
1052932985362747392,,"b'RT @robertjunebug: @MSNBC @MeatballMom2 I am proud to passionately proclaim:\n\nGo Beto, Go to the US Senate!\nMake Texas in the nation proud!\xe2\x80\xa6'"
1052932938269110272,Planet Earth,b'@ericgarland You &amp; your contacts are the experts with the knowledge to uncover the truth about people &amp; world event\xe2\x80\xa6 https://t.co/XM9bvZzNd5'
1052932854043369478,"Austin, TX","b'omg it gets better with the bro conference dudes: \n\nI pull out my laptop to do work and a man sits next to me, look\xe2\x80\xa6 https://t.co/hldwUK61IE'"
1052932831939182593,Málaga,b'Ted Cruz Looks Stale and Old and Past His Time https://t.co/EVK9B0KawR https://t.co/yxGyvWavYt'
1052932787483930625,"New Orleans, LA","b""A more aggressive Beto O'Rourke races the clock in Texas @CNNPolitics https://t.co/inaMS7L36u"""
1052932783415455746,"North Carolina, USA","b'RT @PaulMayATL: Beto O""Rourke is exactly the type of generational leader America needs after the past 2 year disaster.  He brings people to\xe2\x80\xa6'"
1052932703883055105,,b'This only deepens the mystery of why anyone would marry Ted Cruz: A guy who cowers when the president calls you ugl\xe2\x80\xa6 https://t.co/Ti3A7PGs8d'
1052932656600674305,"Hialeah, FL","b'RT @ThisWeekABC: @adam_kels Texas Senate race:\n\nA blue Texas could change the electoral map for a generation, but early Democratic exciteme\xe2\x80\xa6'"
1052932627718725632,"Texas, USA",b'RT @beccas1434: THE STARS AT NIGHT ARE BIG AND BRIGHT \xf0\x9f\x91\x8f\xf0\x9f\x91\x8f\xf0\x9f\x91\x8f\xf0\x9f\x91\x8f DEEP IN THE HEART OF TEXAS!\n\nON OCTOBER 18TH THURSDAY!\n\nHOSTED AND LIVE ON CNN @\xe2\x80\xa6'
1052932592494895105,,"b'RT @Swamp_Fever2020: Hey Texas,\nDemturds think this is a seat they can win!!!\nWe need Ted Cruz for US Senate!!!\nWe counting on you Texas!!!\xe2\x80\xa6'"
