id,location,text
1.05196E+18,"Tennessee, USA","b""RT @AliAdair22: \xf0\x9f\x90\xa6Next, Beto O'Rourke @BetoORourke, running for U.S. Senate in #Texas. Please follow, tweet, contribute, volunteer, anything\xe2\x80\xa6"""
1.05196E+18,,"b""RT @AliAdair22: \xf0\x9f\x90\xa6Next, Beto O'Rourke @BetoORourke, running for U.S. Senate in #Texas. Please follow, tweet, contribute, volunteer, anything\xe2\x80\xa6"""
1.05196E+18,,"b""Ted Cruz, Beto O'Rourke try to rally Latino voters in Texas Senate race https://t.co/EHvO0Zz7yh #FoxNews @MRiveraFoxNews"""
1.05196E+18,America,b'RT @RonNehring: Third poll now showing Cruz with 8 or 9 point solid lead over Beto O\xe2\x80\x99Rourke (D-Hollywood). Follows Quinnipiac and NY Times\xe2\x80\xa6'
1.05196E+18,West Texas,"b'Beto O\xe2\x80\x99Rourke, the Democratic congressman from El Paso, has made the Texas race for US Senate one of the most widel\xe2\x80\xa6 https://t.co/f9i3QqeJ6U'"
1.05196E+18,"Dallas, TX",b'RT @wfaa: Does Texas\xe2\x80\x99 senate race belong to Texans? https://t.co/CcBBWH5pmT https://t.co/GXnrZdJHid'
1.05196E+18,,"b""RT @lizlogan76: Beto could win this, because of ACA Alone.  This is the winning issue, get the word out, Vote for Beto O'Rourke if you valu\xe2\x80\xa6"""
1.05196E+18,"Atlanta, GA","b""RT @FoxNews: Ted Cruz, Beto O'Rourke try to rally Latino voters in the Texas Senate race. https://t.co/yNxbE6UvPb"""
1.05196E+18,Oregon,"b""RT @Patriot_Musket: Lots of really good news for House and Senate Republicans in this weekend's and today's polls. \n\nAnd LOL that Cook stil\xe2\x80\xa6"""
1.05196E+18,Australia,"b""RT @AMHotFlash: BETO'S campaign has raised more money in a single quarter, than any senate race in the history of this country. #Beto is ma\xe2\x80\xa6"""
1.05196E+18,PALM HARBOR FL,"b""RT @JohnCornyn: Cruz vs. O'Rourke is most expensive U.S. Senate race in history https://t.co/quGXT4OSl5"""
1.05196E+18,Illinois ,"b'RT @MSNBC: ""Ted Cruz has insisted that we repeal every single word of the Affordable Care Act, including protections for pre-existing condi\xe2\x80\xa6'"
1.05196E+18,,"b""RT @FoxNews: Ted Cruz, Beto O'Rourke try to rally Latino voters in the Texas Senate race. https://t.co/yNxbE6UvPb"""
1.05196E+18,"San Antonio, Texas","b""Ted Cruz, Beto O'Rourke try to rally Latino voters in Texas Senate race\n\nhttps://t.co/XlTUAnAGnS"""
1.05196E+18,"Austin, Texas","b'RT @MSNBC: ""Ted Cruz has insisted that we repeal every single word of the Affordable Care Act, including protections for pre-existing condi\xe2\x80\xa6'"
1.05196E+18,,"b'RT @UniteBlueTX: Ted Cruz declines, so challenger Beto O\xe2\x80\x99Rourke gets an hour on national TV by himself https://t.co/xS69IPLQW2 #Resist #Bet\xe2\x80\xa6'"
1.05196E+18,"Toronto, Ontario, Canada","b""RT @FoxNews: Ted Cruz, Beto O'Rourke try to rally Latino voters in the Texas Senate race. https://t.co/yNxbE6UvPb"""
1.05196E+18,"Atlanta, Georgia","b""RT @JohnCornyn: Cruz vs. O'Rourke is most expensive U.S. Senate race in history https://t.co/quGXT4OSl5"""
1.05196E+18,,b'@SeanAstin what are your thoughts on Beto In the Texas senate race? Curious'
1.05196E+18,Texas,b'.#BetoForSenate\n#BetoForTexas \n\xe2\x9a\xa1\xef\xb8\x8f \xe2\x80\x9cNew York Times profiles evangelical Christians ahead of Texas Senate race\xe2\x80\x9d https://t.co/hNf6wID5UQ'
1.05196E+18,Dallas,b'Does Texas\xe2\x80\x99 senate race belong to Texans? - Dallas Business Journal \xe2\x80\x9c...the occupation most represented by Cruz\xe2\x80\x99s o\xe2\x80\xa6 https://t.co/gPFN2dT7Vd'
1.05196E+18,"Del Mar, CA","b""RT @AMHotFlash: BETO'S campaign has raised more money in a single quarter, than any senate race in the history of this country. #Beto is ma\xe2\x80\xa6"""
1.05195E+18,"Washington, DC","b""Does Texas' senate race belong to Texans? https://t.co/GqynIxw9YH"""
