id,location,text
1051963175745282048,"Tennessee, USA","b""RT @AliAdair22: \xf0\x9f\x90\xa6Next, Beto O'Rourke @BetoORourke, running for U.S. Senate in #Texas. Please follow, tweet, contribute, volunteer, anything\xe2\x80\xa6"""
1051962913848741889,,"b""RT @AliAdair22: \xf0\x9f\x90\xa6Next, Beto O'Rourke @BetoORourke, running for U.S. Senate in #Texas. Please follow, tweet, contribute, volunteer, anything\xe2\x80\xa6"""
1051962265841352705,,"b""Ted Cruz, Beto O'Rourke try to rally Latino voters in Texas Senate race https://t.co/EHvO0Zz7yh #FoxNews @MRiveraFoxNews"""
1051961886282063872,America,b'RT @RonNehring: Third poll now showing Cruz with 8 or 9 point solid lead over Beto O\xe2\x80\x99Rourke (D-Hollywood). Follows Quinnipiac and NY Times\xe2\x80\xa6'
1051961864471625735,West Texas,"b'Beto O\xe2\x80\x99Rourke, the Democratic congressman from El Paso, has made the Texas race for US Senate one of the most widel\xe2\x80\xa6 https://t.co/f9i3QqeJ6U'"
1051961674872381440,"Dallas, TX",b'RT @wfaa: Does Texas\xe2\x80\x99 senate race belong to Texans? https://t.co/CcBBWH5pmT https://t.co/GXnrZdJHid'
1051961256951894016,,"b""RT @lizlogan76: Beto could win this, because of ACA Alone.  This is the winning issue, get the word out, Vote for Beto O'Rourke if you valu\xe2\x80\xa6"""
1051960881276424193,"Atlanta, GA","b""RT @FoxNews: Ted Cruz, Beto O'Rourke try to rally Latino voters in the Texas Senate race. https://t.co/yNxbE6UvPb"""
1051960858467655680,Oregon,"b""RT @Patriot_Musket: Lots of really good news for House and Senate Republicans in this weekend's and today's polls. \n\nAnd LOL that Cook stil\xe2\x80\xa6"""
1051960555697668096,Australia,"b""RT @AMHotFlash: BETO'S campaign has raised more money in a single quarter, than any senate race in the history of this country. #Beto is ma\xe2\x80\xa6"""
1051960182945800192,PALM HARBOR FL,"b""RT @JohnCornyn: Cruz vs. O'Rourke is most expensive U.S. Senate race in history https://t.co/quGXT4OSl5"""
1051959409683955712,Illinois ,"b'RT @MSNBC: ""Ted Cruz has insisted that we repeal every single word of the Affordable Care Act, including protections for pre-existing condi\xe2\x80\xa6'"
1051959098571452418,,"b""RT @FoxNews: Ted Cruz, Beto O'Rourke try to rally Latino voters in the Texas Senate race. https://t.co/yNxbE6UvPb"""
1051958050670678020,"San Antonio, Texas","b""Ted Cruz, Beto O'Rourke try to rally Latino voters in Texas Senate race\n\nhttps://t.co/XlTUAnAGnS"""
1051957125625405440,"Austin, Texas","b'RT @MSNBC: ""Ted Cruz has insisted that we repeal every single word of the Affordable Care Act, including protections for pre-existing condi\xe2\x80\xa6'"
1051957103991160833,,"b'RT @UniteBlueTX: Ted Cruz declines, so challenger Beto O\xe2\x80\x99Rourke gets an hour on national TV by himself https://t.co/xS69IPLQW2 #Resist #Bet\xe2\x80\xa6'"
1051957001704665089,"Toronto, Ontario, Canada","b""RT @FoxNews: Ted Cruz, Beto O'Rourke try to rally Latino voters in the Texas Senate race. https://t.co/yNxbE6UvPb"""
1051956441010110464,"Atlanta, Georgia","b""RT @JohnCornyn: Cruz vs. O'Rourke is most expensive U.S. Senate race in history https://t.co/quGXT4OSl5"""
1051955665206484992,,b'@SeanAstin what are your thoughts on Beto In the Texas senate race? Curious'
1051955541491232768,Texas,b'.#BetoForSenate\n#BetoForTexas \n\xe2\x9a\xa1\xef\xb8\x8f \xe2\x80\x9cNew York Times profiles evangelical Christians ahead of Texas Senate race\xe2\x80\x9d https://t.co/hNf6wID5UQ'
1051955424705073152,Dallas,b'Does Texas\xe2\x80\x99 senate race belong to Texans? - Dallas Business Journal \xe2\x80\x9c...the occupation most represented by Cruz\xe2\x80\x99s o\xe2\x80\xa6 https://t.co/gPFN2dT7Vd'
1051955122471809024,"Del Mar, CA","b""RT @AMHotFlash: BETO'S campaign has raised more money in a single quarter, than any senate race in the history of this country. #Beto is ma\xe2\x80\xa6"""
1051952959196676098,"Washington, DC","b""Does Texas' senate race belong to Texans? https://t.co/GqynIxw9YH"""
1051952333762912256,,"b'RT @dtxErgaOmnes: New poll has Beto O\xe2\x80\x99Rourke beating Ted Cruz by two points.\n\nIf you want those poll results, get out the early vote for Be\xe2\x80\xa6'"
1051951827741233153,Deep in the 💙 of Texas 🇨🇱,"b""RT @AMHotFlash: BETO'S campaign has raised more money in a single quarter, than any senate race in the history of this country. #Beto is ma\xe2\x80\xa6"""
1051951584072978432,,b'RT @BetoORourke: \xe2\x80\x9cI was initially intrigued by his campaign strategy. Hearing someone say they aren\xe2\x80\x99t going to take any money from PACs cau\xe2\x80\xa6'
1051951004147752963,"Mesa, AZ",b'More Voter purges in heavily contested Senate Race - this time it\xe2\x80\x99s Texas https://t.co/JsFD4BxSYU'
1051950998355357696,,"b""RT @FoxNews: Ted Cruz, Beto O'Rourke try to rally Latino voters in the Texas Senate race. https://t.co/yNxbE6UvPb"""
1051950606515081216,,"b'RT @MSNBC: ""Ted Cruz has insisted that we repeal every single word of the Affordable Care Act, including protections for pre-existing condi\xe2\x80\xa6'"
1051949832947023872,Property of @HendriWigunah,"b""Ted Cruz, Beto O'Rourke try to rally Latino voters in Texas Senate race ~ https://t.co/xN85Hvenk4 https://t.co/uZTHPo9HZk"""
1051949433569665024,"Tennessee, USA","b""RT @JohnCornyn: Cruz vs. O'Rourke is most expensive U.S. Senate race in history https://t.co/quGXT4OSl5"""
1051949300912201729,,b'RT @wfaa: Does Texas\xe2\x80\x99 senate race belong to Texans? https://t.co/CcBBWH5pmT https://t.co/GXnrZdJHid'
1051948187420958723,"Missouri, USA","b""RT @GaryMallonee2: Ted Cruz, Beto O'Rourke try to rally Latino voters in Texas Senate race\n\nhttps://t.co/hmbuQFR3w7"""
1051948041769549825,"Pennsylvania, USA","b""RT @FoxNews: Ted Cruz, Beto O'Rourke try to rally Latino voters in the Texas Senate race. https://t.co/yNxbE6UvPb"""
1051948010467282944,"Baja California, México","b""RT @AliAdair22: \xf0\x9f\x90\xa6Next, Beto O'Rourke @BetoORourke, running for U.S. Senate in #Texas. Please follow, tweet, contribute, volunteer, anything\xe2\x80\xa6"""
1051947918171795457,"Texas, USA","b""RT @BrandiKHOU: I've heard from a lot of you, asking where candidate donations are coming from. Here's a breakdown, according to the Federa\xe2\x80\xa6"""
1051947036738752514,"Pennsylvania, USA","b""Ted Cruz, Beto O'Rourke try to rally Latino voters in Texas Senate race https://t.co/m04ADrXs1I #FoxNews"""
1051946995152277504,"Houston, TX","b""RT @BrandiKHOU: I've heard from a lot of you, asking where candidate donations are coming from. Here's a breakdown, according to the Federa\xe2\x80\xa6"""
1051946136091746304,USA,"b""RT @FoxNews: Ted Cruz, Beto O'Rourke try to rally Latino voters in the Texas Senate race. https://t.co/yNxbE6UvPb"""
1051946026528067585,"Houston, TX","b""I've heard from a lot of you, asking where candidate donations are coming from. Here's a breakdown, according to th\xe2\x80\xa6 https://t.co/vCu4vWYmax"""
1051945178792112129,"Dallas, Texas",b'https://t.co/NX9LKNKMoy\n\n( Sent from WFAA )'
1051944906493693955,,"b""Ted Cruz, Beto O'Rourke try to rally Latino voters in Texas Senate race\n\nhttps://t.co/wFykFFc89h"""
1051944841658142720,"Kentucky, USA","b""RT @FoxNews: Ted Cruz, Beto O'Rourke try to rally Latino voters in the Texas Senate race. https://t.co/yNxbE6UvPb"""
1051944596895346688,"Dallas, TX",b'Does Texas\xe2\x80\x99 senate race belong to Texans? https://t.co/qglk9c1vxU'
1051944506076123137,,"b""RT @JohnCornyn: Cruz vs. O'Rourke is most expensive U.S. Senate race in history https://t.co/quGXT4OSl5"""
1051944235748843520,"Las Vegas, NV","b""RT @GaryMallonee2: Ted Cruz, Beto O'Rourke try to rally Latino voters in Texas Senate race\n\nhttps://t.co/hmbuQFR3w7"""
1051944164248686599,,"b""RT @FoxNews: Ted Cruz, Beto O'Rourke try to rally Latino voters in the Texas Senate race. https://t.co/yNxbE6UvPb"""
1051943773410754560,ya just never know,b'RT @crimsonfaith88: \xf0\x9f\x9b\x91Beto skates across the Stage on his skateboard. Hoping to show his \xe2\x80\x9cCool Guy\xe2\x80\x9d side.  Cruz still leads in polling.Dont\xe2\x80\xa6'
1051943395197902848,,"b""RT @JohnCornyn: Cruz vs. O'Rourke is most expensive U.S. Senate race in history https://t.co/quGXT4OSl5"""
1051943336586735616,"Denton, TX",b'RT @wfaa: Does Texas\xe2\x80\x99 senate race belong to Texans? https://t.co/CcBBWH5pmT https://t.co/GXnrZdJHid'
1051943122165489666,Oklahoma,"b""RT @K_Freudenberger: Imagine watching what's happened to Oklahoma the last 8 years, and actually caring more about a Texas senate race inst\xe2\x80\xa6"""
